QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
10,10,Counter-Strike,Counter-Strike,Nov 1 2000,88,68991,13,13033334,0,9.99
30,30,Day of Defeat,Day of Defeat,May 1 2003,79,2319,5,7621102,0,4.99
70,70,Half-Life,Half-Life,Nov 8 1998,96,12486,11,5927504,0,9.99
80,80,Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,Mar 1 2004,65,7067,8,10489261,0,9.99
130,130,Half-Life: Blue Shift,Half-Life: Blue Shift,Jun 1 2001,71,2219,5,5368650,0,4.99
220,220,Half-Life 2,Half-Life 2,Nov 16 2004,96,35792,9,9901173,33,9.99
240,240,Counter-Strike: Source,Counter-Strike: Source,Nov 1 2004,88,53931,5,15433570,147,19.99
300,300,Day of Defeat: Source,Day of Defeat: Source,Jul 12 2010,80,7185,5,6400269,54,9.99
380,380,Half-Life 2: Episode One,Half-Life 2: Episode One,Jun 1 2006,87,4437,5,6298399,13,7.99
400,400,Portal,Portal,Oct 10 2007,90,27535,11,9795716,15,9.99
420,420,Half-Life 2: Episode Two,Half-Life 2: Episode Two,Oct 10 2007,90,6104,5,5735062,22,7.99
500,500,Left 4 Dead,Left 4 Dead,Nov 17 2008,89,9980,12,4473517,73,19.99
550,550,Left 4 Dead 2,Left 4 Dead 2,Nov 16 2009,89,140726,17,15574539,70,19.99
440,440,Team Fortress 2,Team Fortress 2,Oct 10 2007,92,383949,11,37878812,520,0
620,620,Portal 2,Portal 2,Apr 18 2011,95,73128,12,8741499,51,19.99
730,730,Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,Aug 21 2012,83,1427633,15,25833156,167,14.99
1200,1200,Red Orchestra: Ostfront 41-45,Red Orchestra: Ostfront 41-45,Mar 14 2006,81,1220,37,940689,44,9.99
1250,1250,Killing Floor,Killing Floor,May 14 2009,72,44364,39,3496958,285,19.99
1300,1300,SiN Episodes: Emergence,SiN Episodes: Emergence,May 10 2006,75,385,5,219883,0,9.99
1500,1500,Darwinia,Darwinia,Jul 14 2005,84,444,5,674354,0,9.99
1510,1510,Uplink,Uplink,Aug 23 2006,75,1240,4,728339,0,9.99
1520,1520,DEFCON,DEFCON,Sep 29 2006,84,1655,5,811736,22,9.99
1530,1530,Multiwinia,Multiwinia,Sep 19 2008,76,340,16,619832,12,9.99
1600,1600,Dangerous Waters,Dangerous Waters,Feb 7 2006,82,112,8,53087,0,14.99
1630,1630,Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,Jul 6 2006,80,299,13,106175,0,6.49
1640,1640,Disciples II: Gallean's Return,Disciples II: Galleans Return,Jul 6 2006,84,400,4,113708,0,6.49
1670,1670,Iron Warriors: T-72 Tank Command,Iron Warriors: T - 72 Tank Command,Jul 26 2006,56,210,5,43403,0,4.99
1690,1690,Space Empires V,Space Empires V,Oct 16 2006,68,204,5,69408,0,14.99
1700,1700,Arx Fatalis,Arx Fatalis,Apr 3 2007,77,389,10,119806,0,4.99
1900,1900,Earth 2160,Earth 2160,Apr 1 2006,73,412,9,236024,0,4.99
1930,1930,Two Worlds: Epic Edition,Two Worlds Epic Edition,Apr 30 2009,65,2399,16,942661,0,9.99
2100,2100,Dark Messiah of Might & Magic Single Player,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,6,966156,0,9.99
2210,2210,Quake 4,Quake IV,Aug 4 2011,81,509,15,173790,0,14.99
2300,2300,DOOM II: Hell on Earth,DOOM II,Aug 3 2007,83,1279,5,443890,0,4.99
2310,2310,Quake,QUAKE,Aug 3 2007,94,1266,5,340047,0,4.99
2400,2400,The Ship,The Ship: Murder Party,Jul 11 2006,76,5026,19,1364671,0,9.99
2450,2450,Bloody Good Time,Bloody Good Time,Oct 29 2010,73,716,8,116936,12,4.99
2500,2500,Shadowgrounds,Shadowgrounds,May 8 2006,74,973,5,565669,0,6.99
570,570,Dota 2,Dota 2,Jul 9 2013,90,590480,16,90687580,0,0
2590,2590,Alpha Prime,Alpha Prime,Nov 7 2007,59,984,11,312427,0,4.99
2600,2600,Vampire: The Masquerade - Bloodlines,Vampire: The Masquerade - Bloodlines,Mar 22 2007,80,3983,10,544326,0,19.99
2610,2610,GUN,GUN(tm),Oct 13 2006,76,351,5,70664,0,19.99
2620,2620,Call of Duty,Call of Duty(r),Oct 13 2006,91,851,5,223470,0,19.99
2630,2630,Call of Duty 2,Call of Duty(r) 2,Oct 13 2006,86,1307,5,340226,0,19.99
2640,2640,Call of Duty: United Offensive,Call of Duty: United Offensive,Oct 13 2006,87,318,5,189034,0,19.99
2700,2700,RollerCoaster Tycoon 3: Platinum!,RollerCoaster Tycoon(r) 3: Platinum,Mar 12 2008,81,2579,8,799182,0,19.99
2710,2710,Act of War: Direct Action,Act of War: Direct Action,Mar 12 2008,82,109,12,22598,0,2.99
2780,2780,Arma: Combat Operations,ARMA: Combat Operations,Mar 12 2008,74,181,20,45196,0,7.99
2800,2800,X2: The Threat,X2: The Threat,Jul 21 2006,72,183,5,231540,0,4.99
2810,2810,X3: Reunion,X3: Reunion,Jul 21 2006,71,280,11,357802,0,9.99
2820,2820,X3: Terran Conflict,X3: Terran Conflict,Oct 16 2008,73,1262,12,544147,33,15.99
2840,2840,X: Beyond the Frontier,X: Beyond the Frontier,Oct 8 2010,67,136,6,206611,0,4.99
2870,2870,X Rebirth,X Rebirth,Nov 15 2013,33,5637,10,218806,69,29.99
2990,2990,FlatOut 2,FlatOut 2(tm),Dec 21 2006,76,2870,10,417346,0,9.99
3010,3010,Xpand Rally,Xpand Rally,Aug 24 2006,82,116,8,48245,0,4.99
3020,3020,Call of Juarez,Call of Juarez(tm),Nov 8 2007,72,501,10,104381,0,9.99
3130,3130,Men of War: Red Tide,Men of War: Red Tide,Nov 1 2009,77,228,14,243198,0,4.99
