QueryID,ResponseID,ResponseName,Metacritic,RecommendationCount,SteamSpyOwners
10,10,Counter-Strike,88,68991,13033334
,,,,,
30,30,Day of Defeat,79,2319,7621102
70,70,Half-Life,96,12486,5927504
80,80,Counter-Strike: Condition Zero,65,7067,10489261
130,130,Half-Life: Blue Shift,71,2219,5368650
220,220,Half-Life 2,96,35792,9901173
240,240,Counter-Strike: Source,88,53931,15433570
300,300,Day of Defeat: Source,80,7185,6400269
380,380,Half-Life 2: Episode One,87,4437,6298399
400,400,Portal,90,27535,9795716
420,420,Half-Life 2: Episode Two,90,6104,5735062
440,440,Team Fortress 2,92,383949,37878812
500,500,Left 4 Dead,89,9980,4473517
550,550,Left 4 Dead 2,89,140726,15574539
570,570,Dota 2,90,590480,90687580
620,620,Portal 2,95,73128,8741499
630,630,Alien Swarm,77,14625,4819841
730,730,Counter-Strike: Global Offensive,83,1427633,25833156
1002,1002,Rag Doll Kung Fu,69,0,35332
1200,1200,Red Orchestra: Ostfront 41-45,81,1220,940689
1250,1250,Killing Floor,72,44364,3496958
1300,1300,SiN Episodes: Emergence,75,385,219883
1500,1500,Darwinia,84,444,674354
1510,1510,Uplink,75,1240,728339
1520,1520,DEFCON,84,1655,811736
1530,1530,Multiwinia,76,340,619832
1600,1600,Dangerous Waters,82,112,53087
1610,1610,Space Empires IV Deluxe,79,0,69946
1630,1630,Disciples II: Rise of the Elves,80,299,106175
1640,1640,Disciples II: Galleans Return,84,400,113708
1670,1670,Iron Warriors: T - 72 Tank Command,56,210,43403
1690,1690,Space Empires V,68,204,69408
1700,1700,Arx Fatalis,77,389,119806
1900,1900,Earth 2160,73,412,236024
1930,1930,Two Worlds Epic Edition,65,2399,942661
2100,2100,Dark Messiah of Might & Magic,72,2776,966156
2210,2210,Quake IV,81,509,173790
2300,2300,DOOM II,83,1279,443890
2310,2310,QUAKE,94,1266,340047
2350,2350,QUAKE III: Team Arena,69,0,317987
2400,2400,The Ship: Murder Party,76,5026,1364671
2450,2450,Bloody Good Time,73,716,116936
2500,2500,Shadowgrounds,74,973,565669
2520,2520,Gumboy - Crazy Adventures(tm),69,0,72637
2570,2570,Vigil: Blood Bitterness(tm),61,129,63310
2590,2590,Alpha Prime,59,984,312427
2600,2600,Vampire: The Masquerade - Bloodlines,80,3983,544326
2610,2610,GUN(tm),76,351,70664
2620,2620,Call of Duty(r),91,851,223470
2630,2630,Call of Duty(r) 2,86,1307,340226
2640,2640,Call of Duty: United Offensive,87,318,189034
2700,2700,RollerCoaster Tycoon(r) 3: Platinum,81,2579,799182
2710,2710,Act of War: Direct Action,82,109,22598
2780,2780,ARMA: Combat Operations,74,181,45196
2800,2800,X2: The Threat,72,183,231540
2810,2810,X3: Reunion,71,280,357802
2820,2820,X3: Terran Conflict,73,1262,544147
2840,2840,X: Beyond the Frontier,67,136,206611
2870,2870,X Rebirth,33,5637,218806
2920,2920,Sub Command,84,0,38740
2990,2990,FlatOut 2(tm),76,2870,417346
3010,3010,Xpand Rally,82,116,48245
3020,3020,Call of Juarez(tm),72,501,104381
3130,3130,Men of War: Red Tide,77,228,243198
3170,3170,Kings Bounty: Armored Princess,82,308,369998
3200,3200,Painkiller: Black Edition,81,0,24033
3230,3230,Genesis Rising,57,103,30669
3260,3260,Safecracker: The Ultimate Puzzle Adventure,69,321,89854
3270,3270,Painkiller Overdose,65,374,256111
3540,3540,Peggle(tm) Nights,76,248,209839
3560,3560,Bejeweled Twist,78,0,36049
3590,3590,Plants vs. Zombies GOTY Edition,87,6207,1169180
3620,3620,Zumas Revenge!,78,225,102767
3700,3700,Sniper Elite,76,866,421292
3710,3710,Judge Dredd: Dredd vs. Death,55,425,62772
3720,3720,Evil Genius,75,1195,220241
3800,3800,Advent Rising,70,226,47169
3810,3810,BloodRayne,65,307,66718
3820,3820,BloodRayne 2,67,224,67256
3830,3830,Psychonauts,87,5130,1413633
3900,3900,Sid Meiers Civilization(r) IV,94,887,1422601
3910,3910,Sid Meiers Civilization(r) III Complete,90,1328,1097619
3920,3920,Sid Meiers Pirates!,88,1641,800437
3960,3960,Shattered Union,67,0,41788
3980,3980,CivCity: Rome,67,143,75686
3990,3990,Civilization IV(r): Warlords,84,0,1174560
4300,4300,RoboBlitz,80,0,36408
4420,4420,Silverfall,62,0,38201
4500,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,82,4657,1029825
4520,4520,Full Spectrum Warrior,80,104,111376
4530,4530,Full Spectrum Warrior: Ten Hammers,70,0,108686
4540,4540,Titan Quest,77,2218,1594238
4550,4550,Titan Quest - Immortal Throne,80,2216,1047402
4560,4560,Company of Heroes,93,3856,2972719
4570,4570,Warhammer(r) 40000: Dawn of War(r) - Game of the Year Edition,86,2212,1596749
4580,4580,Warhammer(r) 40000: Dawn of War(r) - Dark Crusade,87,1715,1023010
4700,4700,Medieval II: Total War(tm),88,5418,1794751
4720,4720,Condemned: Criminal Origins,78,891,482988
4760,4760,Rome: Total War(tm) - Collection,92,5160,1632799
4770,4770,Rome: Total War(tm) - Alexander,79,266,760442
4800,4800,Heroes of Annihilated Empires,65,153,51832
4850,4850,Cossacks: Back to War,60,726,164284
4870,4870,Cossacks: Art of War,74,0,79273
4880,4880,Cossacks: European Wars,74,135,100436
4890,4890,Cossacks II: Battle for Europe,69,223,101691
4920,4920,Natural Selection 2,80,7873,1680326
6000,6000,STAR WARS(tm) Republic Commando(tm),78,3763,1206485
6020,6020,STAR WARS(tm) Jedi Knight - Jedi Academy(tm),81,3535,1536488
6030,6030,STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm),89,1433,1217963
